2021-10-27 23:56:28,660 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:56:28,833 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:56:28,871 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:56:29,043 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:56:29,618 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 23:56:29,618 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 00:00:54,401 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 00:00:54,575 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 00:00:54,618 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 00:00:54,749 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 00:00:55,477 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 00:00:55,477 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:02:06,273 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:02:06,548 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:02:06,593 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:02:06,724 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:06:16,869 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:06:17,025 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:06:17,066 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:06:17,210 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:06:17,651 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:06:17,651 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:06:46,408 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:06:46,560 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:06:46,606 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:06:46,736 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:06:47,209 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:06:47,209 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:08:06,298 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:08:06,454 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:08:06,496 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:08:06,628 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:08:07,072 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:08:07,072 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:08:48,965 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:08:49,148 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
